match_id,participant_id,teamId,puuid,champion,lane,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff
KR_7461719584,3,100,hVPzeZALU-SPFNYByN1YOqA16Twwxyy30i5B0AoXsVa-ADZ6UoACZxF16nYPFG4BwKHubkrWaCHTMg,Lux,MIDDLE,-1310,-9,-9,0,-149,0,0.044055173337856635,4332,-0.4303682512585786,-4978,0.06710158434296365,2
KR_7461719584,8,200,wfD8o6pksilt-AWa_8zCTnMueyVILJ4eXxEFvuNHulBwFrc0c0Id03DJ7hY9zoqXlzAaRAOsCuzI_A,Ahri,MIDDLE,1310,9,9,0,149,0,-0.044055173337856635,-4332,0.4303682512585786,4978,-0.06710158434296365,-2
KR_7461831539,2,100,g5Np9PJ49io_MIbasRrBmEyOZv2zW9MisHw6Gj5ncteEei4zynsECmfMZ0e_WxILp7iAeSWccChC6Q,Nidalee,JUNGLE,-674,1,1,-23,-1272,0,-0.0704524754056024,1384,-0.6463038805466037,-15742,-0.02766798418972327,1
KR_7461831539,7,200,lzXAUGcPkHXtpt8ESwzLeVMV6ea-YfhCdmlFlnxas6IbRka1bnq1ftEIoHGboM_NJqJT1y56EPjeQw,Viego,JUNGLE,674,-1,-1,23,1272,0,0.0704524754056024,-1384,0.6463038805466037,15742,0.02766798418972327,-1
KR_7461831539,3,100,HY5V5k0b8-4Cx0tf8kUyUkfWNRezfInG6VUDUgDnQmm3gkGZEeAnJ_5D3vPAt5b31xzfHNMsA2Sq2A,Corki,MIDDLE,238,15,15,0,837,0,0.0024940108163818975,6958,-0.16014311461554054,1100,-0.19762845849802374,0
KR_7461831539,8,200,6dJVL2dPnkQAQjmaBWrnR8UxkQJ4b6Vc0tr5aetSsbyoWyeA-q2MniZYxA3o0IRNerqjYCrwURHLJA,Cassiopeia,MIDDLE,-238,-15,-15,0,-837,0,-0.0024940108163818975,-6958,0.16014311461554054,-1100,0.19762845849802374,0
KR_7461831539,1,100,Kf0x5W9HSaLB3nSZR2c_m2BpSIdYz3dM8IC_F_ySVnl93slBSAp_yclIVsMf_6lvKrSz-KInvSKbaA,Jayce,TOP,1876,38,38,0,1980,0,0.07533255850843068,5354,1.0230264003863778,-2572,0.691699604743083,7
KR_7461831539,6,200,T8tLvTlFi379ZYVL8ZDM8BYF9GRQcvQqevn8Zs3Qqdvj4bdkG0u2M0FnmEPVfw-YZPW7We6vQeH1Qw,Aurora,TOP,-1876,-38,-38,0,-1980,0,-0.07533255850843068,-5354,-1.0230264003863778,2572,-0.691699604743083,-7
KR_7461989772,3,100,8m7iOerPiTCDKOlbP8icjauELmc5ZCvqtVJkdFte_uu7VswhiUR1zuvVZOBXX1oSH5JcUsYuj-pLEw,Hwei,MIDDLE,-619,3,3,0,-110,0,-0.1688039578218732,-5233,-0.34385734718831296,1809,-0.5295698924731184,-9
KR_7461989772,8,200,JYUDF7bS1t4U7dDtyL9NAqUoXAqqhthJ7VYj-uNWHu0eQJx0ga9MDWIln04AWJK_3tQw7phdEj8emg,Aurora,MIDDLE,619,-3,-3,0,110,0,0.1688039578218732,5233,0.34385734718831296,-1809,0.5295698924731184,9
