match_id,participant_id,teamId,puuid,champion,lane,win,gold_10,xp_10,cs_10,goldEarned,gold_diff_@10min
KR_7461719584,1,100,PnjczL7VESlrLKjVSQUWgsAjCsS7r3KNJcmsq5Xb6aindkgJMMm7iJ95fLdqmMZU86jv0AGSxu-mQQ,Sion,TOP,1,2728,3402,56,11465,1738
KR_7461719584,2,100,UDY6yg4_foiB991ah-NXqpYxRn_FxFCSWU8PsV_ipW-30lv9NEuJruglQ4dfw2E9K5lrexLj2RN1Jg,Vi,JUNGLE,1,3252,3299,68,12958,1738
KR_7461719584,3,100,hVPzeZALU-SPFNYByN1YOqA16Twwxyy30i5B0AoXsVa-ADZ6UoACZxF16nYPFG4BwKHubkrWaCHTMg,Lux,MIDDLE,1,3082,4305,73,14490,1738
KR_7461719584,4,100,Xp5eXjOb1tyEBWw-zg6R9jnpnOsdZk2rC9CzNMCSW48IRhlBWKeD3Teq9BrsG7fWVnv_MrNsKQfx2Q,Varus,BOTTOM,1,4398,3107,71,15798,1738
KR_7461719584,5,100,InG-aw75ZisgsmJJ_XjOrK8BPs1ElVMwNsklk0lWIJkZCKbwve8iTzbvh4bz_vsIu4HgbYRQAUyMeQ,Renata,UTILITY,1,2138,2327,14,9542,1738
KR_7461719584,6,200,72lIpS7UXgt6zge6zZMPLUElUfqAciBjEzXx8T9wpEnvYhpQjGX5-F1_3sLwDOIyBfHj0EbP1CtbeA,Rumble,TOP,0,2852,3841,55,12543,-1738
KR_7461719584,7,200,x5Dw8cufXrfTzw1UJmImEFbXS3IYlHXzqxu71uEqJuAzoMKry7_b3p2kH_Vkfzv__pWBG-yg7XMv2g,Skarner,JUNGLE,0,3235,3307,60,10898,-1738
KR_7461719584,8,200,wfD8o6pksilt-AWa_8zCTnMueyVILJ4eXxEFvuNHulBwFrc0c0Id03DJ7hY9zoqXlzAaRAOsCuzI_A,Ahri,MIDDLE,0,3203,4188,82,13545,-1738
KR_7461719584,9,200,vLC5qGCHxOvEtit_mM6FSWEnuE5BXgu4-1sg0lNqJTGz-QSRZyWCc9UD2DDVy3lM5hTWdXmSL1F2vA,Ashe,BOTTOM,0,2263,2422,46,10884,-1738
KR_7461719584,10,200,97H-IIZ6PwDfP9TkhDWwdYUktEkc75ytJ34Z-MpsqnW2tRenlQGvqLsqvk395Z9tYDNMbaURPkuJzg,Rakan,UTILITY,0,2307,2490,13,8367,-1738
KR_7463482624,1,100,Gj8G4RbTxkL4V2iLdONzhga8JCnBxmn3JtRXHViyJ-sTbSXkkIT0KX9a3IvM7Eze33UHfpvU4bAzOw,RekSai,TOP,0,2356,3972,49,7167,-675
KR_7463482624,2,100,JqNPa4M-BVNa95KNPGdweuSC7-k1GbJbvGhsHj2uo4xfFjNJ4I2wQUdMfUGN6iLI_mHMpqymJskrwA,Skarner,JUNGLE,0,2788,3062,62,8764,-675
KR_7463482624,3,100,w9ASupfQ6swln0x04OUavLNlT_z7Bdfc8F49bmXSxnfoNmi1f8_aMCWg-baU2O-5j62uLHJteJiA4w,Sylas,MIDDLE,0,2952,4067,77,9062,-675
