match_id,participant_id,teamId,puuid,champion,lane,Ct_raw,Ct_norm,win
KR_7461719584,3,100,hVPzeZALU-SPFNYByN1YOqA16Twwxyy30i5B0AoXsVa-ADZ6UoACZxF16nYPFG4BwKHubkrWaCHTMg,Lux,MIDDLE,-2121.3192114935773,-0.3086980846162453,
KR_7461719584,8,200,wfD8o6pksilt-AWa_8zCTnMueyVILJ4eXxEFvuNHulBwFrc0c0Id03DJ7hY9zoqXlzAaRAOsCuzI_A,Ahri,MIDDLE,2121.3192114935773,0.3086980846162453,
KR_7461831539,2,100,g5Np9PJ49io_MIbasRrBmEyOZv2zW9MisHw6Gj5ncteEei4zynsECmfMZ0e_WxILp7iAeSWccChC6Q,Nidalee,JUNGLE,-16324.744424340142,-2.3756053819431457,
KR_7461831539,7,200,lzXAUGcPkHXtpt8ESwzLeVMV6ea-YfhCdmlFlnxas6IbRka1bnq1ftEIoHGboM_NJqJT1y56EPjeQw,Viego,JUNGLE,16324.744424340142,2.3756053819431457,
KR_7461831539,3,100,HY5V5k0b8-4Cx0tf8kUyUkfWNRezfInG6VUDUgDnQmm3gkGZEeAnJ_5D3vPAt5b31xzfHNMsA2Sq2A,Corki,MIDDLE,9162.644722437703,1.3333640974496173,
KR_7461831539,8,200,6dJVL2dPnkQAQjmaBWrnR8UxkQJ4b6Vc0tr5aetSsbyoWyeA-q2MniZYxA3o0IRNerqjYCrwURHLJA,Cassiopeia,MIDDLE,-9162.644722437703,-1.3333640974496173,
KR_7461831539,1,100,Kf0x5W9HSaLB3nSZR2c_m2BpSIdYz3dM8IC_F_ySVnl93slBSAp_yclIVsMf_6lvKrSz-KInvSKbaA,Jayce,TOP,6722.790058563637,0.978312176268156,
KR_7461831539,6,200,T8tLvTlFi379ZYVL8ZDM8BYF9GRQcvQqevn8Zs3Qqdvj4bdkG0u2M0FnmEPVfw-YZPW7We6vQeH1Qw,Aurora,TOP,-6722.790058563637,-0.978312176268156,
KR_7461989772,3,100,8m7iOerPiTCDKOlbP8icjauELmc5ZCvqtVJkdFte_uu7VswhiUR1zuvVZOBXX1oSH5JcUsYuj-pLEw,Hwei,MIDDLE,-4157.0422311974835,-0.6049400615836507,
KR_7461989772,8,200,JYUDF7bS1t4U7dDtyL9NAqUoXAqqhthJ7VYj-uNWHu0eQJx0ga9MDWIln04AWJK_3tQw7phdEj8emg,Aurora,MIDDLE,4157.0422311974835,0.6049400615836507,
KR_7462492891,2,100,FXmDcUK1nvouSgXGJQ2KzNsrjkOwRlZ8m47Mf6CP2LGnG4fZS3ZKc22s_-Yiejhh4epoqh7b1jyy-A,Vi,JUNGLE,-9750.691348072038,-1.418937671674005,
KR_7462492891,7,200,7I2hI9rCWItYACGGa_dC1lAtbX1Qw-0IMFI92hQAPBUUWT3XxoDIU7ZVMsbyNEgPcQkxShvQ2kfycg,Kayn,JUNGLE,9750.691348072038,1.418937671674005,
KR_7463216397,1,100,aLdGTbpKtagHP4TxcaUTbL8xGp0o46vgYsq4RcToUy4WOFquUrt4SFO1MWHwZgTjX93fnl2vUfdIvg,Tryndamere,TOP,21314.995285011977,3.1017954216587356,
KR_7463216397,6,200,pe-2Kv5wEIejJdxZufMSeDttAoMOFrBjiYqg1Wv1C_ipvnVJG6BZltJEK0YvzG001InW1CO9Aw8r2Q,Jax,TOP,-21314.995285011977,-3.1017954216587356,
KR_7463298760,2,100,zMBiHs0VR4ipu5Gjapdy3iGt-RIpIgCi_0HL8ayQxqdVErIIlTNKjOib8p0zVwk-ulz6sWXpmOxqiA,LeeSin,JUNGLE,11306.995491424665,1.6454137746245945,
KR_7463298760,7,200,c3p_hWhPiMvzGpfMUBCvwjoZmtbt6ugKqWHXIM15Xjy139iw8xkTo1J980pYTHuh-6EGy0jnhb5arA,Nidalee,JUNGLE,-11306.995491424665,-1.6454137746245945,
KR_7463298760,3,100,EuvEAvlTv2c9dUDkVdMOKMUO3cSwxKFv8euyrNjpLSTNk_Q_CDTtdPXiSc1R9XW-0WE8XDK7EUyOaw,Ryze,MIDDLE,-16832.249338815833,-2.449458385387013,
KR_7463298760,10,200,xq48jMSekE3VuLaHXHMqrr88eZqIjVWIEqdMas2OJiqmgxQ9-sS-Pohlm6toVVF3Agr7sl9RQ5wong,Sylas,MIDDLE,16832.249338815833,2.449458385387013,
KR_7463298760,1,100,zSdTtNGm3-OZ2BO9i32NBI_RbzM9_WfJAFTE_XMSTOyvLwjXft8o_Q1T1oLAkuPnT5oN7VyG3LfoOQ,Camille,TOP,-8899.776741409589,-1.2951110887507593,
